user_id,name,age,circle,connection_type,tenure_months,arpu,daily_data_usage_gb,daily_call_minutes,night_usage_ratio,sms_count,preferred_plan_type,current_plan,ott_subscription,ott_usage,monthly_ott_spend,family_plan_members,international_roaming_freq,caller_tune_subscribed,responsiveness_to_offers,user_segment,is_student,last_recharge_date,last_recharge_amount,cluster
10000,Idika Bedi,58,Delhi,Prepaid,95,378,2.096056983613479,26.543392470720384,0.2316626542372533,3,OTT Combo,Vi SuperHero 999,SonyLIV,1,224,0,0.11515060721396557,0,0,OTT Subscriber,0,2025-09-08,999,0
10001,Dev Karpe,56,Delhi,Postpaid,76,1359,2.0,15.478046649412127,0.17125784033946764,8,Unlimited 5G,Vi SuperHero 698,Netflix,0,279,2,0.16313394697105682,0,1,High Value Customer,0,2025-09-12,249,1
10002,Faris Chaudhari,42,Bangalore,Postpaid,104,348,0.1,47.994922997881766,0.09900238460185957,1,Data Pack,Vi Hero 299,SonyLIV,1,176,0,0.4894879642093278,0,2,Business User,0,2025-08-27,499,2
10003,Bakhshi Agate,54,Hyderabad,Prepaid,99,543,1.8492408015146187,14.111006493134017,0.1332639038358934,9,Unlimited 5G,Vi SuperHero 299,SonyLIV,0,23,2,0.04577397216468126,0,1,Caller-Tune Enthusiast,0,2025-09-10,499,0
10004,Samaksh Buch,40,Hyderabad,Prepaid,69,579,2.8103907172292053,0.0,0.27280838162565146,7,SuperHero,Vi NonStop Hero 698,Netflix,1,410,4,0.016918004429889427,0,1,OTT Subscriber,0,2025-08-20,199,1
10005,Amol Narula,32,Mumbai,Prepaid,117,168,0.7663245378780071,0.0,0.4444382444168913,18,NonStop Hero,Vi SuperHero 698,SonyLIV,1,205,3,0.01293436690664837,0,0,Low Value Customer,0,2025-09-08,999,0
10006,Charita Tripathi,52,Kolkata,Prepaid,18,1317,5.0343600428562345,22.269690603719635,0.2307507225216435,16,Data Pack,Vi SuperHero 299,JioHotstar,1,298,1,0.030697257387956804,0,2,High Value Customer,0,2025-09-02,249,1
10007,Ishaan Patel,42,Bangalore,Prepaid,88,164,0.4817407737575762,28.104906374295364,0.33078324535484904,3,OTT Combo,Vi NonStop Hero 499,JioHotstar,1,270,2,0.08023291426724943,0,1,Low Value Customer,0,2025-09-15,449,0
10008,Lucky Raval,50,Bangalore,Prepaid,20,263,0.34947288692463907,22.524816238353313,0.5348078746663165,11,SuperHero,Vi Hero 999,JioHotstar,0,152,4,0.16057234176634028,0,0,Low Value Customer,0,2025-09-12,499,0
10009,Vrinda Dixit,74,Bangalore,Prepaid,11,161,0.7019376508321925,58.95466632330069,0.27309851313142136,15,Unlimited 5G,Vi Hero 399,Amazon Prime,0,29,3,0.15864398196737595,1,0,Low Value Customer,0,2025-09-07,999,0
10010,Jagvi Chand,73,Pune,Prepaid,92,238,0.25931681923351435,0.0,0.2835202997539891,9,Data Pack,Vi Hero 499,SonyLIV,1,108,4,0.028249734331914845,0,0,Low Value Customer,0,2025-09-08,249,0
10011,Vasatika Parsa,39,Mumbai,Prepaid,30,514,2.0,0.0,0.07907145260121336,2,Unlimited 5G,Vi NonStop Hero 299,None,0,112,1,0.09307240575529716,0,1,High Value Customer,0,2025-09-09,999,0
10012,Zehaan Goyal,26,Pune,Postpaid,104,1319,1.5722762519292317,91.58105281213216,0.21100332015818626,13,SuperHero,Vi SuperHero 299,SonyLIV,1,124,2,0.019866840659568147,0,1,Student User,0,2025-08-19,199,1
10013,Utkarsh Sama,61,Chennai,Postpaid,103,1488,2.402319639224129,9.954303916257654,0.4077991199775252,3,SuperHero,Vi SuperHero 399,None,0,31,3,0.6199302730175282,0,0,International Roamer,0,2025-09-07,749,2
10014,Yashoda Rao,33,Mumbai,Prepaid,84,304,0.895829215060561,0.0,0.2287273809730878,17,Unlimited 5G,Vi SuperHero 399,Amazon Prime,1,281,3,0.020432923975129927,0,0,Weekend Data User,0,2025-08-19,698,0
10015,Ekantika Rao,75,Mumbai,Postpaid,34,270,1.071905969078167,43.90304496334913,0.3663286554440206,14,NonStop Hero,Vi NonStop Hero 999,SonyLIV,0,194,1,0.016444492166715913,0,0,Family Plan User,0,2025-09-14,999,0
10016,Chandran Sheth,21,Chennai,Prepaid,8,267,2.9288727073363683,43.04853914042244,0.2533044126156472,16,Unlimited 5G,Vi SuperHero 299,None,0,299,0,0.14077820230785892,0,0,Family Plan User,1,2025-09-03,249,0
10017,Jeevika Kaur,74,Bangalore,Prepaid,80,1316,1.7097996143897656,0.0,0.29557425924545794,2,Data Pack,Vi Hero 999,None,0,296,4,0.03109939293800988,0,1,Family Plan User,0,2025-09-09,499,1
10018,Balveer Talwar,33,Hyderabad,Postpaid,59,693,3.022067426884682,50.55150399986225,0.7065322160349901,10,Unlimited 5G,Vi SuperHero 698,None,1,67,4,0.06274057030835693,1,0,Occasional User,0,2025-08-29,399,1
10019,Jeremiah Chad,50,Mumbai,Prepaid,48,693,2.9512583648239605,43.44900009229989,0.6294328537963132,9,SuperHero,Vi NonStop Hero 999,Netflix,0,178,4,0.03254328610261531,1,2,Data-Heavy User,0,2025-08-30,199,1
10020,Balendra Tandon,60,Delhi,Postpaid,15,1285,1.3352738194826208,24.413430366853728,0.38603566828649477,3,OTT Combo,Vi SuperHero 499,Netflix,1,53,4,0.1362418974334789,0,1,Occasional User,0,2025-09-09,449,1
10021,Wishi Choudhury,50,Mumbai,Postpaid,107,1150,2.75468540201558,21.44645718486547,0.16770028158069278,8,Unlimited 5G,Vi SuperHero 499,Amazon Prime,1,26,2,0.07505375690956224,0,1,Data-Heavy User,0,2025-08-29,698,1
10022,Jhalak Venkataraman,53,Delhi,Prepaid,107,276,0.5913347359612557,31.455217961149998,0.07887924888938468,11,OTT Combo,Vi Hero 399,SonyLIV,0,38,1,0.025327825652601884,0,1,Low Value Customer,0,2025-08-18,199,0
